datetime,SAB1,ACS
20250404,-0.10737736577829282,-0.05391969407265773
20250407,-0.057983556901774036,-0.05820533548908646
20250408,0.029857602204869105,0.038197424892703946
20250409,-0.012934879571810831,-0.018602728400165525
20250410,0.06732941708088558,0.04338668913226629
20250411,-0.00550381033022862,-0.020589422688736314
20250414,0.027671349510429932,0.03668590272052752
20250415,0.028997514498757093,0.015904572564612307
20250416,0.005636070853462183,0.001956947162426559
20250417,-0.005604483586869602,0.005078125000000044
20250422,0.00523349436392917,0.00660707345511069
20250423,0.03163796555867049,0.019305019305019266
20250424,-0.0007763975155280489,0.002272727272727426
20250425,0.013986013986013957,0.01473922902494329
20250428,0.017624521072796995,0.012290502793296021
20250429,-0.01713102409638556,0.0055187637969094094
20250430,-0.02394177360658878,0.0025612879619465456
20250502,-0.006671899529042347,0.04014598540145986
20250505,0.004346108257605508,0.006315789473684275
20250506,-0.013768686073957426,-0.019177126917712672
20250507,0.017151974471479647,-0.008887308922858161
20250508,0.03647058823529403,0.006814921090387394
20250509,-0.007945516458569779,0.002137513359458554
20250512,0.019832189168573544,-0.0028439388553145317
20250513,0.008975317875841382,0.021390374331550666
20250514,0.012231282431430568,0.008726003490401313
20250515,-0.009886488465763343,0.005536332179930881
20250516,0.009985207100591698,0.01342050929112193
20250519,0.011351153423654337,0.01018675721561979
20250520,0.019913106444605422,0.0235294117647058
20250521,-0.013134540291089958,-0.012151067323481146
20250522,0.01420863309352538,0.0006648936170214892
20250523,-0.02110303245256262,-0.009966777408637939
20250526,0.011956521739130643,0.014429530201342189
20250527,0.0028643036161832836,-0.017201455507773744
20250528,-0.011067475901463841,-0.009424436216762033
20250529,0.008303249097473042,-0.004757050628610315
20250530,-0.0003580379520230492,-0.014680778422669793
20250602,0.002865329512893977,0.011781011781011763
20250603,-0.005714285714285672,-0.006849315068493178
20250604,-0.00897988505747127,-0.0024137931034482474
20250605,0.015585357013410794,0.012789491876944448
20250606,0.0049964311206280865,-0.015358361774744034
20250609,0.0014204545454545858,-0.0034662045060659397
20250610,-0.005319148936170137,-0.010086956521739077
20250611,0.0014260249554367554,-0.0028109627547435734
20250612,0.010323958704165248,0.007751937984496138
20250613,-0.020789288231148784,-0.0174825174825175
20250616,0.01943145016192882,0.005338078291814874
20250617,-0.01941404871161323,-0.010973451327433548
20250618,0.008999280057595316,0.00501073729420165
20250619,-0.018551551908669306,-0.024928774928774877
20250620,-0.00036350418029806875,0.009861212563915256
20250623,-0.021818181818181848,0.013743218806510082
